INDEX,NAME,MAKE,YEAR,MODEL
795,Subaru WRX '05,Subaru,2005,Impreza WRX STi
796,Subaru WRX '08,Subaru,2008,Impreza WRX STI
797,Subaru WRX '11,Subaru,2011,WRX STI
798,Subaru WRX '15,Subaru,2015,WRX STI
799,Subaru WRX '22,Subaru,2022,WRX
800,Supervan 3 DME,Ford,1994,Supervan 3 Donut Media Edition
801,Supra '98 WP,Toyota,1998,"Supra RZ ""Welcome Pack"""
802,Tavascan '22,CUPRA,2022,Tavascan Concept
803,Taycan CT '23,Porsche,2023,Taycan Cross Turismo Turbo S
804,Taycan S WP,Porsche,2020,"Taycan Turbo S ""Welcome Pack"""
805,Toronado '66,Oldsmobile,1966,Toronado
806,Toyota 2000GT,Toyota,1969,2000GT
807,Toyota 4Runner,Toyota,2019,4Runner TRD Pro
808,Toyota 86,Toyota,2013,86
809,Toyota AT37,Toyota,2016,Land Cruiser Arctic Trucks AT37
810,Toyota AT38,Toyota,2007,Hilux Arctic Trucks AT38
811,Toyota Camry '23,Toyota,2023,Camry TRD
812,Toyota Celica'03,Toyota,2003,Celica SS-I
813,Toyota Celica'74,Toyota,1974,Celica GT
814,Toyota Celica'92,Toyota,1992,Celica GT-Four RC ST185
815,Toyota Celica'94,Toyota,1994,Celica GT-Four ST205
816,Toyota FJ40,Toyota,1979,FJ40
817,Toyota GR Yaris,Toyota,2021,GR Yaris
818,Toyota GR86 '22,Toyota,2022,GR86
819,Toyota MR2 '89,Toyota,1989,MR2 SC
820,Toyota MR2 '95,Toyota,1995,MR2 GT
821,Toyota Sera '91,Toyota,1991,Sera
822,Toyota Supra '20,Toyota,2020,GR Supra
823,Toyota Supra '92,Toyota,1992,Supra 2.0 GT
824,Toyota Supra '98,Toyota,1998,Supra RZ
825,Toyota Tacoma,Toyota,2019,Tacoma TRD Pro
826,Toyota Trueno,Toyota,1985,Sprinter Trueno GT Apex
827,Toyota Tundra,Toyota,2020,Tundra TRD Pro
828,TVR Griffith,TVR,2018,Griffith
829,TVR Sagaris,TVR,2005,Sagaris
830,TVR Speed 12,TVR,1998,Cerbera Speed 12
831,Twerkstallion,Hoonigan,1992,Mazda RX-7 Twerkstallion
832,Twin Mill,Hot Wheels,1969,Twin Mill
833,Ultima 1020,Ultima,2015,Evolution Coupe 1020
834,UrbanRebel '22,CUPRA,2022,UrbanRebel Concept
835,Urus '19,Lamborghini,2019,Urus
836,Valhalla Concept,Aston Martin,2019,Valhalla Concept Car
837,Vantage S '13,Aston Martin,2013,V12 Vantage S
838,Vaux Carlton,Vauxhall,1990,Lotus Carlton
839,VauxCorsa '16,Vauxhall,2016,Corsa VXR
840,Vauxhall Monaro,Vauxhall,2005,Monaro VXR
841,VelociRaptor '19,Hennessey,2019,VelociRaptor 6x6
842,Veloster N,Hyundai,2019,Veloster N
843,Venom F5,Hennessey,2021,Venom F5
844,Venom GT,Hennessey,2012,Venom GT
845,Viper '13 AE,Dodge,2013,SRT Viper GTS Anniversary Edition
846,Volvo 242 Turbo,Volvo,1983,242 Turbo Evolution
847,Volvo 850,Volvo,1997,850 R
848,Volvo C30P,Volvo,2013,C30 Polestar
849,Volvo V60,Volvo,2015,V60 Polestar
850,VUHL 05RR,VUHL,2017,05RR
851,VW Class 5 Bug,Volkswagen,1969,Class 5/1600 Baja Bug
852,VW Corrado,Volkswagen,1995,Corrado VR6
853,VW Doka '66,Volkswagen,1966,Double Cab Pick-Up
854,VW Golf '03,Volkswagen,2003,Golf R32
855,VW Golf '92,Volkswagen,1992,Golf Gti 16v Mk2
856,VW Golf '98,Volkswagen,1998,GTI VR6 Mk3
857,VW Golf GTI '83,Volkswagen,1983,Golf GTI
858,VW Golf R '10,Volkswagen,2010,Golf R
859,VW Golf R '14,Volkswagen,2014,Golf R
860,VW Golf R '21,Volkswagen,2021,Golf R
861,VW Golf R '22,Volkswagen,2022,Golf R
862,VW ID.4 '21,Volkswagen,2021,ID.4
863,VW Pickup '82,Volkswagen,1982,Pickup LX
864,VW Santana '12,Volkswagen,2012,Santana
865,VW Scirocco '11,Volkswagen,2011,Scirocco R
866,VW Scirocco '81,Volkswagen,1981,Scirocco S
867,VT SP-2 '76,Volkswagen,1976,SP-2
868,VW Thing '73,Volkswagen,1973,Thing
869,VW Type 2,Volkswagen,1963,Type 2 De Luxe
870,Willys Jeep,Willys,1945,MB Jeep
871,Wuling Mini EV,Wuling,2022,Hongguang Mini EV Macaron
872,Wuling Sunshine,Wuling,2013,Sunshine S
873,X-Bow GT2,KTM,2020,X-Bow GT2
874,Xpeng P7,Xpeng,2020,P7
875,Z Nismo '24,Nissan,2024,Z NISMO
876,Zenvo ST1,Zenvo,2016,ST1
877,Zenvo TSR-S,Zenvo,2019,TSR-S
878,Zonda Oreo,Pagani,2009,Zonda Cinque Roadster 'Oreo Edition'
